Comunidades autónomas;Tipo de dato;Periodo;Total
01 Andalucía;Acumulado en lo que va de año;2022M05;3.306.556
01 Andalucía;Acumulado en lo que va de año;2022M04;2.266.556
01 Andalucía;Acumulado en lo que va de año;2022M03;1.358.488
01 Andalucía;Acumulado en lo que va de año;2022M02;748.556
01 Andalucía;Acumulado en lo que va de año;2022M01;323.469
01 Andalucía;Acumulado en lo que va de año;2021M12;4.248.340
01 Andalucía;Acumulado en lo que va de año;2021M11;3.916.053
01 Andalucía;Acumulado en lo que va de año;2021M10;3.429.756
01 Andalucía;Acumulado en lo que va de año;2021M09;2.616.675
01 Andalucía;Acumulado en lo que va de año;2021M08;1.929.051
01 Andalucía;Acumulado en lo que va de año;2021M07;1.229.975
01 Andalucía;Acumulado en lo que va de año;2021M06;674.855
01 Andalucía;Acumulado en lo que va de año;2021M05;378.730
01 Andalucía;Acumulado en lo que va de año;2021M04;212.559
01 Andalucía;Acumulado en lo que va de año;2021M03;129.553
01 Andalucía;Acumulado en lo que va de año;2021M02;78.504
01 Andalucía;Acumulado en lo que va de año;2021M01;49.789
01 Andalucía;Acumulado en lo que va de año;2020M12;2.700.613
01 Andalucía;Acumulado en lo que va de año;2020M11;2.640.013
01 Andalucía;Acumulado en lo que va de año;2020M10;2.590.838
01 Andalucía;Acumulado en lo que va de año;2020M09;2.447.228
01 Andalucía;Acumulado en lo que va de año;2020M08;2.268.037
01 Andalucía;Acumulado en lo que va de año;2020M07;1.904.188
01 Andalucía;Acumulado en lo que va de año;2020M06;1.544.434
01 Andalucía;Acumulado en lo que va de año;2020M05;1.530.437
01 Andalucía;Acumulado en lo que va de año;2020M04;1.530.437
01 Andalucía;Acumulado en lo que va de año;2020M03;1.530.437
01 Andalucía;Acumulado en lo que va de año;2020M02;1.232.104
01 Andalucía;Acumulado en lo que va de año;2020M01;605.451
01 Andalucía;Acumulado en lo que va de año;2019M12;12.023.153
01 Andalucía;Acumulado en lo que va de año;2019M11;11.465.292
01 Andalucía;Acumulado en lo que va de año;2019M10;10.851.124
01 Andalucía;Acumulado en lo que va de año;2019M09;9.660.004
01 Andalucía;Acumulado en lo que va de año;2019M08;8.284.662
01 Andalucía;Acumulado en lo que va de año;2019M07;6.880.961
01 Andalucía;Acumulado en lo que va de año;2019M06;5.624.305
01 Andalucía;Acumulado en lo que va de año;2019M05;4.380.910
01 Andalucía;Acumulado en lo que va de año;2019M04;3.176.161
01 Andalucía;Acumulado en lo que va de año;2019M03;2.044.678
01 Andalucía;Acumulado en lo que va de año;2019M02;1.201.744
01 Andalucía;Acumulado en lo que va de año;2019M01;574.761
01 Andalucía;Acumulado en lo que va de año;2018M12;11.681.256
01 Andalucía;Acumulado en lo que va de año;2018M11;11.128.661
01 Andalucía;Acumulado en lo que va de año;2018M10;10.524.304
01 Andalucía;Acumulado en lo que va de año;2018M09;9.384.140
01 Andalucía;Acumulado en lo que va de año;2018M08;8.064.790
01 Andalucía;Acumulado en lo que va de año;2018M07;6.640.380
01 Andalucía;Acumulado en lo que va de año;2018M06;5.312.803
01 Andalucía;Acumulado en lo que va de año;2018M05;4.143.855
01 Andalucía;Acumulado en lo que va de año;2018M04;2.950.139
01 Andalucía;Acumulado en lo que va de año;2018M03;1.905.573
01 Andalucía;Acumulado en lo que va de año;2018M02;1.117.825
01 Andalucía;Acumulado en lo que va de año;2018M01;538.026
01 Andalucía;Acumulado en lo que va de año;2017M12;11.518.262
01 Andalucía;Acumulado en lo que va de año;2017M11;11.007.776
01 Andalucía;Acumulado en lo que va de año;2017M10;10.438.144
01 Andalucía;Acumulado en lo que va de año;2017M09;9.318.716
01 Andalucía;Acumulado en lo que va de año;2017M08;7.991.658
01 Andalucía;Acumulado en lo que va de año;2017M07;6.569.064
01 Andalucía;Acumulado en lo que va de año;2017M06;5.212.797
01 Andalucía;Acumulado en lo que va de año;2017M05;4.047.817
01 Andalucía;Acumulado en lo que va de año;2017M04;2.871.815
01 Andalucía;Acumulado en lo que va de año;2017M03;1.827.155
01 Andalucía;Acumulado en lo que va de año;2017M02;1.106.552
01 Andalucía;Acumulado en lo que va de año;2017M01;522.009
01 Andalucía;Acumulado en lo que va de año;2016M12;10.589.642
01 Andalucía;Acumulado en lo que va de año;2016M11;10.094.080
01 Andalucía;Acumulado en lo que va de año;2016M10;9.545.762
01 Andalucía;Acumulado en lo que va de año;2016M09;8.451.564
01 Andalucía;Acumulado en lo que va de año;2016M08;7.333.672
01 Andalucía;Acumulado en lo que va de año;2016M07;5.958.919
01 Andalucía;Acumulado en lo que va de año;2016M06;4.747.011
01 Andalucía;Acumulado en lo que va de año;2016M05;3.689.745
01 Andalucía;Acumulado en lo que va de año;2016M04;2.597.756
01 Andalucía;Acumulado en lo que va de año;2016M03;1.630.498
01 Andalucía;Acumulado en lo que va de año;2016M02;946.738
01 Andalucía;Acumulado en lo que va de año;2016M01;453.459
01 Andalucía;Acumulado en lo que va de año;2015M12;""
01 Andalucía;Acumulado en lo que va de año;2015M11;""
01 Andalucía;Acumulado en lo que va de año;2015M10;""
01 Andalucía;Tasa de variación acumulada;2023M08;23,28
01 Andalucía;Tasa de variación acumulada;2023M07;26,16
01 Andalucía;Tasa de variación acumulada;2023M06;27,74
01 Andalucía;Tasa de variación acumulada;2023M05;31,7
01 Andalucía;Tasa de variación acumulada;2023M04;38,67
01 Andalucía;Tasa de variación acumulada;2023M03;46,24
01 Andalucía;Tasa de variación acumulada;2023M02;58,1
01 Andalucía;Tasa de variación acumulada;2023M01;76,79
01 Andalucía;Tasa de variación acumulada;2022M12;135,62
01 Andalucía;Tasa de variación acumulada;2022M11;141,98
01 Andalucía;Tasa de variación acumulada;2022M10;159,02
01 Andalucía;Tasa de variación acumulada;2022M09;199,45
01 Andalucía;Tasa de variación acumulada;2022M08;249,12
01 Andalucía;Tasa de variación acumulada;2022M07;342,19
01 Andalucía;Tasa de variación acumulada;2022M06;539,58
01 Andalucía;Tasa de variación acumulada;2022M05;773,07
01 Andalucía;Tasa de variación acumulada;2022M04;966,32
01 Andalucía;Tasa de variación acumulada;2022M03;948,6
01 Andalucía;Tasa de variación acumulada;2022M02;853,53
01 Andalucía;Tasa de variación acumulada;2022M01;549,68
01 Andalucía;Tasa de variación acumulada;2021M12;57,31
01 Andalucía;Tasa de variación acumulada;2021M11;48,33
01 Andalucía;Tasa de variación acumulada;2021M10;32,38
01 Andalucía;Tasa de variación acumulada;2021M09;6,92
01 Andalucía;Tasa de variación acumulada;2021M08;-14,95
01 Andalucía;Tasa de variación acumulada;2021M07;-35,41
01 Andalucía;Tasa de variación acumulada;2021M06;-56,3
01 Andalucía;Tasa de variación acumulada;2021M05;-75,25
01 Andalucía;Tasa de variación acumulada;2021M04;-86,11
01 Andalucía;Tasa de variación acumulada;2021M03;-91,53
01 Andalucía;Tasa de variación acumulada;2021M02;-93,63
01 Andalucía;Tasa de variación acumulada;2021M01;-91,78
01 Andalucía;Tasa de variación acumulada;2020M12;-77,54
01 Andalucía;Tasa de variación acumulada;2020M11;-76,97
01 Andalucía;Tasa de variación acumulada;2020M10;-76,12
01 Andalucía;Tasa de variación acumulada;2020M09;-74,67
01 Andalucía;Tasa de variación acumulada;2020M08;-72,62
01 Andalucía;Tasa de variación acumulada;2020M07;-72,33
01 Andalucía;Tasa de variación acumulada;2020M06;-72,54
01 Andalucía;Tasa de variación acumulada;2020M05;-65,07
01 Andalucía;Tasa de variación acumulada;2020M04;-51,81
01 Andalucía;Tasa de variación acumulada;2020M03;-25,15
01 Andalucía;Tasa de variación acumulada;2020M02;2,53
01 Andalucía;Tasa de variación acumulada;2020M01;5,34
01 Andalucía;Tasa de variación acumulada;2019M12;2,93
01 Andalucía;Tasa de variación acumulada;2019M11;3,02
01 Andalucía;Tasa de variación acumulada;2019M10;3,11
01 Andalucía;Tasa de variación acumulada;2019M09;2,94
01 Andalucía;Tasa de variación acumulada;2019M08;2,73
01 Andalucía;Tasa de variación acumulada;2019M07;3,62
01 Andalucía;Tasa de variación acumulada;2019M06;5,86
01 Andalucía;Tasa de variación acumulada;2019M05;5,72
01 Andalucía;Tasa de variación acumulada;2019M04;7,66
01 Andalucía;Tasa de variación acumulada;2019M03;7,3
01 Andalucía;Tasa de variación acumulada;2019M02;7,51
01 Andalucía;Tasa de variación acumulada;2019M01;6,83
01 Andalucía;Tasa de variación acumulada;2018M12;1,42
01 Andalucía;Tasa de variación acumulada;2018M11;1,1
01 Andalucía;Tasa de variación acumulada;2018M10;0,83
01 Andalucía;Tasa de variación acumulada;2018M09;0,7
01 Andalucía;Tasa de variación acumulada;2018M08;0,92
01 Andalucía;Tasa de variación acumulada;2018M07;1,09
01 Andalucía;Tasa de variación acumulada;2018M06;1,92
01 Andalucía;Tasa de variación acumulada;2018M05;2,37
01 Andalucía;Tasa de variación acumulada;2018M04;2,73
01 Andalucía;Tasa de variación acumulada;2018M03;4,29
01 Andalucía;Tasa de variación acumulada;2018M02;1,02
01 Andalucía;Tasa de variación acumulada;2018M01;3,07
01 Andalucía;Tasa de variación acumulada;2017M12;8,77
01 Andalucía;Tasa de variación acumulada;2017M11;9,05
01 Andalucía;Tasa de variación acumulada;2017M10;9,35
01 Andalucía;Tasa de variación acumulada;2017M09;10,26
01 Andalucía;Tasa de variación acumulada;2017M08;8,97
01 Andalucía;Tasa de variación acumulada;2017M07;10,24
01 Andalucía;Tasa de variación acumulada;2017M06;9,81
01 Andalucía;Tasa de variación acumulada;2017M05;9,7
01 Andalucía;Tasa de variación acumulada;2017M04;10,55
01 Andalucía;Tasa de variación acumulada;2017M03;12,06
01 Andalucía;Tasa de variación acumulada;2017M02;16,88
01 Andalucía;Tasa de variación acumulada;2017M01;15,12
01 Andalucía;Tasa de variación acumulada;2016M12;13,41
01 Andalucía;Tasa de variación acumulada;2016M11;13,53
01 Andalucía;Tasa de variación acumulada;2016M10;13,6
01 Andalucía;Tasa de variación acumulada;2016M09;14,11
01 Andalucía;Tasa de variación acumulada;2016M08;14,6
01 Andalucía;Tasa de variación acumulada;2016M07;16,85
01 Andalucía;Tasa de variación acumulada;2016M06;18,36
01 Andalucía;Tasa de variación acumulada;2016M05;19,28
01 Andalucía;Tasa de variación acumulada;2016M04;21,14
01 Andalucía;Tasa de variación acumulada;2016M03;24,66
01 Andalucía;Tasa de variación acumulada;2016M02;21,13
01 Andalucía;Tasa de variación acumulada;2016M01;21,63
01 Andalucía;Tasa de variación acumulada;2015M12;""
01 Andalucía;Tasa de variación acumulada;2015M11;""
01 Andalucía;Tasa de variación acumulada;2015M10;""
04 Balears, Illes;Dato base;2023M08;2.344.314
04 Balears, Illes;Dato base;2023M07;2.437.549
04 Balears, Illes;Dato base;2023M06;2.058.060
04 Balears, Illes;Dato base;2023M05;1.797.593
04 Balears, Illes;Dato base;2023M04;1.182.897
04 Balears, Illes;Dato base;2023M03;360.664
04 Balears, Illes;Dato base;2023M02;181.766
04 Balears, Illes;Dato base;2023M01;128.515
04 Balears, Illes;Dato base;2022M12;130.814
04 Balears, Illes;Dato base;2022M11;165.387
04 Balears, Illes;Dato base;2022M10;1.352.418
04 Balears, Illes;Dato base;2022M09;1.897.022
04 Balears, Illes;Dato base;2022M08;2.185.677
04 Balears, Illes;Dato base;2022M07;2.273.277
04 Balears, Illes;Dato base;2022M06;1.958.641
04 Balears, Illes;Dato base;2022M05;1.630.611
04 Balears, Illes;Dato base;2022M04;1.070.244
04 Balears, Illes;Dato base;2022M03;306.983
04 Balears, Illes;Dato base;2022M02;149.643
04 Balears, Illes;Dato base;2022M01;83.167
04 Balears, Illes;Dato base;2021M12;114.613
04 Balears, Illes;Dato base;2021M11;148.414
04 Balears, Illes;Dato base;2021M10;1.010.761
04 Balears, Illes;Dato base;2021M09;1.167.722
04 Balears, Illes;Dato base;2021M08;1.307.442
04 Balears, Illes;Dato base;2021M07;1.320.144
04 Balears, Illes;Dato base;2021M06;656.091
04 Balears, Illes;Dato base;2021M05;380.859
04 Balears, Illes;Dato base;2021M04;124.634
04 Balears, Illes;Dato base;2021M03;65.660
04 Balears, Illes;Dato base;2021M02;13.190
04 Balears, Illes;Dato base;2021M01;15.182
04 Balears, Illes;Dato base;2020M12;22.099
04 Balears, Illes;Dato base;2020M11;20.103
04 Balears, Illes;Dato base;2020M10;84.194
04 Balears, Illes;Dato base;2020M09;119.145
04 Balears, Illes;Dato base;2020M08;453.636
04 Balears, Illes;Dato base;2020M07;588.448
04 Balears, Illes;Dato base;2020M06;28.388
04 Balears, Illes;Dato base;2020M05;0
04 Balears, Illes;Dato base;2020M04;0
04 Balears, Illes;Dato base;2020M03;115.784
04 Balears, Illes;Dato base;2020M02;185.554
04 Balears, Illes;Dato base;2020M01;103.772
04 Balears, Illes;Dato base;2019M12;124.847
04 Balears, Illes;Dato base;2019M11;182.713
04 Balears, Illes;Dato base;2019M10;1.224.498
04 Balears, Illes;Dato base;2019M09;2.006.475
04 Balears, Illes;Dato base;2019M08;2.256.991
04 Balears, Illes;Dato base;2019M07;2.344.094
04 Balears, Illes;Dato base;2019M06;2.065.353
04 Balears, Illes;Dato base;2019M05;1.701.167
04 Balears, Illes;Dato base;2019M04;1.081.557
04 Balears, Illes;Dato base;2019M03;365.813
04 Balears, Illes;Dato base;2019M02;184.351
04 Balears, Illes;Dato base;2019M01;141.922
04 Balears, Illes;Dato base;2018M12;183.329
04 Balears, Illes;Dato base;2018M11;188.018
04 Balears, Illes;Dato base;2018M10;1.284.111
04 Balears, Illes;Dato base;2018M09;2.031.600
04 Balears, Illes;Dato base;2018M08;2.297.469
04 Balears, Illes;Dato base;2018M07;2.429.816
04 Balears, Illes;Dato base;2018M06;2.121.434
04 Balears, Illes;Dato base;2018M05;1.708.101
04 Balears, Illes;Dato base;2018M04;930.679
04 Balears, Illes;Dato base;2018M03;401.293
04 Balears, Illes;Dato base;2018M02;156.311
04 Balears, Illes;Dato base;2018M01;119.437
04 Balears, Illes;Dato base;2017M12;99.275
04 Balears, Illes;Dato base;2017M11;177.426
04 Balears, Illes;Dato base;2017M10;1.256.543
04 Balears, Illes;Dato base;2017M09;2.009.288
04 Balears, Illes;Dato base;2017M08;2.352.198
04 Balears, Illes;Dato base;2017M07;2.484.880
04 Balears, Illes;Dato base;2017M06;2.101.520
04 Balears, Illes;Dato base;2017M05;1.717.352
04 Balears, Illes;Dato base;2017M04;998.445
04 Balears, Illes;Dato base;2017M03;325.442
04 Balears, Illes;Dato base;2017M02;162.771
04 Balears, Illes;Dato base;2017M01;107.156
04 Balears, Illes;Dato base;2016M12;101.338
04 Balears, Illes;Dato base;2016M11;152.665
04 Balears, Illes;Dato base;2016M10;1.242.445
04 Balears, Illes;Dato base;2016M09;1.861.414
04 Balears, Illes;Dato base;2016M08;2.292.425
04 Balears, Illes;Dato base;2016M07;2.359.490
04 Balears, Illes;Dato base;2016M06;1.945.565
04 Balears, Illes;Dato base;2016M05;1.612.832
04 Balears, Illes;Dato base;2016M04;770.338
04 Balears, Illes;Dato base;2016M03;391.922
04 Balears, Illes;Dato base;2016M02;164.735
04 Balears, Illes;Dato base;2016M01;102.379
04 Balears, Illes;Dato base;2015M12;95.914
04 Balears, Illes;Dato base;2015M11;125.595
04 Balears, Illes;Dato base;2015M10;991.830
04 Balears, Illes;Tasa de variación anual;2023M08;7,26
04 Balears, Illes;Tasa de variación anual;2023M07;7,23
04 Balears, Illes;Tasa de variación anual;2023M06;5,08
04 Balears, Illes;Tasa de variación anual;2023M05;10,24
04 Balears, Illes;Tasa de variación anual;2023M04;10,53
04 Balears, Illes;Tasa de variación anual;2023M03;17,49
04 Balears, Illes;Tasa de variación anual;2023M02;21,47
04 Balears, Illes;Tasa de variación anual;2023M01;54,53
04 Balears, Illes;Tasa de variación anual;2022M12;14,14
04 Balears, Illes;Tasa de variación anual;2022M11;11,44
04 Balears, Illes;Tasa de variación anual;2022M10;33,8
04 Balears, Illes;Tasa de variación anual;2022M09;62,45
04 Balears, Illes;Tasa de variación anual;2022M08;67,17
04 Balears, Illes;Tasa de variación anual;2022M07;72,2
04 Balears, Illes;Tasa de variación anual;2022M06;198,53
04 Balears, Illes;Tasa de variación anual;2022M05;328,14
04 Balears, Illes;Tasa de variación anual;2022M04;758,71
04 Balears, Illes;Tasa de variación anual;2022M03;367,53
04 Balears, Illes;Tasa de variación anual;2022M02;1.034,55
04 Balears, Illes;Tasa de variación anual;2022M01;447,81
04 Balears, Illes;Tasa de variación anual;2021M12;418,64
04 Balears, Illes;Tasa de variación anual;2021M11;638,27
04 Balears, Illes;Tasa de variación anual;2021M10;1.100,51
04 Balears, Illes;Tasa de variación anual;2021M09;880,08
04 Balears, Illes;Tasa de variación anual;2021M08;188,21
04 Balears, Illes;Tasa de variación anual;2021M07;124,34
04 Balears, Illes;Tasa de variación anual;2021M06;2.211,12
04 Balears, Illes;Tasa de variación anual;2021M05;..
04 Balears, Illes;Tasa de variación anual;2021M04;..
04 Balears, Illes;Tasa de variación anual;2021M03;-43,29
04 Balears, Illes;Tasa de variación anual;2021M02;-92,89
04 Balears, Illes;Tasa de variación anual;2021M01;-85,37
04 Balears, Illes;Tasa de variación anual;2020M12;-82,3
04 Balears, Illes;Tasa de variación anual;2020M11;-89
04 Balears, Illes;Tasa de variación anual;2020M10;-93,12
04 Balears, Illes;Tasa de variación anual;2020M09;-94,06
04 Balears, Illes;Tasa de variación anual;2020M08;-79,9
04 Balears, Illes;Tasa de variación anual;2020M07;-74,9
04 Balears, Illes;Tasa de variación anual;2020M06;-98,63
04 Balears, Illes;Tasa de variación anual;2020M05;-100
04 Balears, Illes;Tasa de variación anual;2020M04;-100
04 Balears, Illes;Tasa de variación anual;2020M03;-68,35
04 Balears, Illes;Tasa de variación anual;2020M02;0,65
04 Balears, Illes;Tasa de variación anual;2020M01;-26,88
04 Balears, Illes;Tasa de variación anual;2019M12;-31,9
04 Balears, Illes;Tasa de variación anual;2019M11;-2,82
04 Balears, Illes;Tasa de variación anual;2019M10;-4,64
04 Balears, Illes;Tasa de variación anual;2019M09;-1,24
04 Balears, Illes;Tasa de variación anual;2019M08;-1,76
04 Balears, Illes;Tasa de variación anual;2019M07;-3,53
04 Balears, Illes;Tasa de variación anual;2019M06;-2,64
04 Balears, Illes;Tasa de variación anual;2019M05;-0,41
04 Balears, Illes;Tasa de variación anual;2019M04;16,21
04 Balears, Illes;Tasa de variación anual;2019M03;-8,84
04 Balears, Illes;Tasa de variación anual;2019M02;17,94
04 Balears, Illes;Tasa de variación anual;2019M01;18,83
04 Balears, Illes;Tasa de variación anual;2018M12;84,67
04 Balears, Illes;Tasa de variación anual;2018M11;5,97
04 Balears, Illes;Tasa de variación anual;2018M10;2,19
04 Balears, Illes;Tasa de variación anual;2018M09;1,11
04 Balears, Illes;Tasa de variación anual;2018M08;-2,33
04 Balears, Illes;Tasa de variación anual;2018M07;-2,22
04 Balears, Illes;Tasa de variación anual;2018M06;0,95
04 Balears, Illes;Tasa de variación anual;2018M05;-0,54
04 Balears, Illes;Tasa de variación anual;2018M04;-6,79
04 Balears, Illes;Tasa de variación anual;2018M03;23,31
04 Balears, Illes;Tasa de variación anual;2018M02;-3,97
04 Balears, Illes;Tasa de variación anual;2018M01;11,46
04 Balears, Illes;Tasa de variación anual;2017M12;-2,04
04 Balears, Illes;Tasa de variación anual;2017M11;16,22
04 Balears, Illes;Tasa de variación anual;2017M10;1,13
04 Balears, Illes;Tasa de variación anual;2017M09;7,94
04 Balears, Illes;Tasa de variación anual;2017M08;2,61
04 Balears, Illes;Tasa de variación anual;2017M07;5,31
04 Balears, Illes;Tasa de variación anual;2017M06;8,02
04 Balears, Illes;Tasa de variación anual;2017M05;6,48
04 Balears, Illes;Tasa de variación anual;2017M04;29,61
04 Balears, Illes;Tasa de variación anual;2017M03;-16,96
04 Balears, Illes;Tasa de variación anual;2017M02;-1,19
04 Balears, Illes;Tasa de variación anual;2017M01;4,67
04 Balears, Illes;Tasa de variación anual;2016M12;5,66
04 Balears, Illes;Tasa de variación anual;2016M11;21,55
04 Balears, Illes;Tasa de variación anual;2016M10;25,27
04 Balears, Illes;Tasa de variación anual;2016M09;9,14
04 Balears, Illes;Tasa de variación anual;2016M08;2,57
04 Balears, Illes;Tasa de variación anual;2016M07;12,3
04 Balears, Illes;Tasa de variación anual;2016M06;12,13
04 Balears, Illes;Tasa de variación anual;2016M05;9,76
04 Balears, Illes;Tasa de variación anual;2016M04;10,47
04 Balears, Illes;Tasa de variación anual;2016M03;43,3
04 Balears, Illes;Tasa de variación anual;2016M02;35,36
04 Balears, Illes;Tasa de variación anual;2016M01;-3,68
04 Balears, Illes;Tasa de variación anual;2015M12;0,7
04 Balears, Illes;Tasa de variación anual;2015M11;-8,44
04 Balears, Illes;Tasa de variación anual;2015M10;4,02
04 Balears, Illes;Acumulado en lo que va de año;2023M08;10.491.357
04 Balears, Illes;Acumulado en lo que va de año;2023M07;8.147.043
04 Balears, Illes;Acumulado en lo que va de año;2023M06;5.709.494
04 Balears, Illes;Acumulado en lo que va de año;2023M05;3.651.434
04 Balears, Illes;Acumulado en lo que va de año;2023M04;1.853.841
04 Balears, Illes;Acumulado en lo que va de año;2023M03;670.945
04 Balears, Illes;Acumulado en lo que va de año;2023M02;310.281
04 Balears, Illes;Acumulado en lo que va de año;2023M01;128.515
04 Balears, Illes;Acumulado en lo que va de año;2022M12;13.203.885
04 Balears, Illes;Acumulado en lo que va de año;2022M11;13.073.071
04 Balears, Illes;Acumulado en lo que va de año;2022M10;12.907.684
04 Balears, Illes;Acumulado en lo que va de año;2022M09;11.555.266
04 Balears, Illes;Acumulado en lo que va de año;2022M08;9.658.244
04 Balears, Illes;Acumulado en lo que va de año;2022M07;7.472.567
04 Balears, Illes;Acumulado en lo que va de año;2022M06;5.199.289
04 Balears, Illes;Acumulado en lo que va de año;2022M05;3.240.649
04 Balears, Illes;Acumulado en lo que va de año;2022M04;1.610.037
04 Balears, Illes;Acumulado en lo que va de año;2022M03;539.793
04 Balears, Illes;Acumulado en lo que va de año;2022M02;232.810
04 Balears, Illes;Acumulado en lo que va de año;2022M01;83.167
04 Balears, Illes;Acumulado en lo que va de año;2021M12;6.324.711
04 Balears, Illes;Acumulado en lo que va de año;2021M11;6.210.098
04 Balears, Illes;Acumulado en lo que va de año;2021M10;6.061.685
04 Balears, Illes;Acumulado en lo que va de año;2021M09;5.050.924
04 Balears, Illes;Acumulado en lo que va de año;2021M08;3.883.201
04 Balears, Illes;Acumulado en lo que va de año;2021M07;2.575.759
04 Balears, Illes;Acumulado en lo que va de año;2021M06;1.255.615
04 Balears, Illes;Acumulado en lo que va de año;2021M05;599.524
04 Balears, Illes;Acumulado en lo que va de año;2021M04;218.665
04 Balears, Illes;Acumulado en lo que va de año;2021M03;94.031
04 Balears, Illes;Acumulado en lo que va de año;2021M02;28.371
04 Balears, Illes;Acumulado en lo que va de año;2021M01;15.182
04 Balears, Illes;Acumulado en lo que va de año;2020M12;1.721.123
04 Balears, Illes;Acumulado en lo que va de año;2020M11;1.699.025
04 Balears, Illes;Acumulado en lo que va de año;2020M10;1.678.922
04 Balears, Illes;Acumulado en lo que va de año;2020M09;1.594.728
04 Balears, Illes;Acumulado en lo que va de año;2020M08;1.475.582
04 Balears, Illes;Acumulado en lo que va de año;2020M07;1.021.946
04 Balears, Illes;Acumulado en lo que va de año;2020M06;433.498
04 Balears, Illes;Acumulado en lo que va de año;2020M05;405.110
04 Balears, Illes;Acumulado en lo que va de año;2020M04;405.110
04 Balears, Illes;Acumulado en lo que va de año;2020M03;405.110
04 Balears, Illes;Acumulado en lo que va de año;2020M02;289.326
04 Balears, Illes;Acumulado en lo que va de año;2020M01;103.772
04 Balears, Illes;Acumulado en lo que va de año;2019M12;13.679.781
04 Balears, Illes;Acumulado en lo que va de año;2019M11;13.554.933
04 Balears, Illes;Acumulado en lo que va de año;2019M10;13.372.221
04 Balears, Illes;Acumulado en lo que va de año;2019M09;12.147.723
04 Balears, Illes;Acumulado en lo que va de año;2019M08;10.141.248
04 Balears, Illes;Acumulado en lo que va de año;2019M07;7.884.256
04 Balears, Illes;Acumulado en lo que va de año;2019M06;5.540.162
04 Balears, Illes;Acumulado en lo que va de año;2019M05;3.474.810
04 Balears, Illes;Acumulado en lo que va de año;2019M04;1.773.643
04 Balears, Illes;Acumulado en lo que va de año;2019M03;692.086
04 Balears, Illes;Acumulado en lo que va de año;2019M02;326.273
04 Balears, Illes;Acumulado en lo que va de año;2019M01;141.922
04 Balears, Illes;Acumulado en lo que va de año;2018M12;13.851.598
04 Balears, Illes;Acumulado en lo que va de año;2018M11;13.668.269
04 Balears, Illes;Acumulado en lo que va de año;2018M10;13.480.250
04 Balears, Illes;Acumulado en lo que va de año;2018M09;12.196.140
04 Balears, Illes;Acumulado en lo que va de año;2018M08;10.164.540
04 Balears, Illes;Acumulado en lo que va de año;2018M07;7.867.071
04 Balears, Illes;Acumulado en lo que va de año;2018M06;5.437.255
04 Balears, Illes;Acumulado en lo que va de año;2018M05;3.315.821
04 Balears, Illes;Acumulado en lo que va de año;2018M04;1.607.720
04 Balears, Illes;Acumulado en lo que va de año;2018M03;677.041
04 Balears, Illes;Acumulado en lo que va de año;2018M02;275.748
04 Balears, Illes;Acumulado en lo que va de año;2018M01;119.437
04 Balears, Illes;Acumulado en lo que va de año;2017M12;13.792.296
04 Balears, Illes;Acumulado en lo que va de año;2017M11;13.693.021
04 Balears, Illes;Acumulado en lo que va de año;2017M10;13.515.595
04 Balears, Illes;Acumulado en lo que va de año;2017M09;12.259.052
04 Balears, Illes;Acumulado en lo que va de año;2017M08;10.249.765
04 Balears, Illes;Acumulado en lo que va de año;2017M07;7.897.567
04 Balears, Illes;Acumulado en lo que va de año;2017M06;5.412.687
04 Balears, Illes;Acumulado en lo que va de año;2017M05;3.311.167
04 Balears, Illes;Acumulado en lo que va de año;2017M04;1.593.814
04 Balears, Illes;Acumulado en lo que va de año;2017M03;595.369
04 Balears, Illes;Acumulado en lo que va de año;2017M02;269.927
04 Balears, Illes;Acumulado en lo que va de año;2017M01;107.156
04 Balears, Illes;Acumulado en lo que va de año;2016M12;12.997.549
04 Balears, Illes;Acumulado en lo que va de año;2016M11;12.896.211
04 Balears, Illes;Acumulado en lo que va de año;2016M10;12.743.545
04 Balears, Illes;Acumulado en lo que va de año;2016M09;11.501.100
04 Balears, Illes;Acumulado en lo que va de año;2016M08;9.639.686
04 Balears, Illes;Acumulado en lo que va de año;2016M07;7.347.261
04 Balears, Illes;Acumulado en lo que va de año;2016M06;4.987.771
04 Balears, Illes;Acumulado en lo que va de año;2016M05;3.042.206
04 Balears, Illes;Acumulado en lo que va de año;2016M04;1.429.375
04 Balears, Illes;Acumulado en lo que va de año;2016M03;659.037
04 Balears, Illes;Acumulado en lo que va de año;2016M02;267.115
04 Balears, Illes;Acumulado en lo que va de año;2016M01;102.379
04 Balears, Illes;Acumulado en lo que va de año;2015M12;""
04 Balears, Illes;Acumulado en lo que va de año;2015M11;""
04 Balears, Illes;Acumulado en lo que va de año;2015M10;""
04 Balears, Illes;Tasa de variación acumulada;2023M08;8,63
04 Balears, Illes;Tasa de variación acumulada;2023M07;9,03
04 Balears, Illes;Tasa de variación acumulada;2023M06;9,81
04 Balears, Illes;Tasa de variación acumulada;2023M05;12,68
04 Balears, Illes;Tasa de variación acumulada;2023M04;15,14
04 Balears, Illes;Tasa de variación acumulada;2023M03;24,3
04 Balears, Illes;Tasa de variación acumulada;2023M02;33,28
04 Balears, Illes;Tasa de variación acumulada;2023M01;54,53
04 Balears, Illes;Tasa de variación acumulada;2022M12;108,77
04 Balears, Illes;Tasa de variación acumulada;2022M11;110,51
04 Balears, Illes;Tasa de variación acumulada;2022M10;112,94
04 Balears, Illes;Tasa de variación acumulada;2022M09;128,78
