Motivo del viaje;Tipo de dato;Periodo;Total
Ocio, recreo y vacaciones;Tasa de variación anual;2018M01;10,17
Ocio, recreo y vacaciones;Tasa de variación anual;2017M12;3,26
Ocio, recreo y vacaciones;Tasa de variación anual;2017M11;13,06
Ocio, recreo y vacaciones;Tasa de variación anual;2017M10;3,79
Ocio, recreo y vacaciones;Tasa de variación anual;2017M09;12,63
Ocio, recreo y vacaciones;Tasa de variación anual;2017M08;3,22
Ocio, recreo y vacaciones;Tasa de variación anual;2017M07;8,81
Ocio, recreo y vacaciones;Tasa de variación anual;2017M06;12,29
Ocio, recreo y vacaciones;Tasa de variación anual;2017M05;13,45
Ocio, recreo y vacaciones;Tasa de variación anual;2017M04;23,26
Ocio, recreo y vacaciones;Tasa de variación anual;2017M03;6,62
Ocio, recreo y vacaciones;Tasa de variación anual;2017M02;20,37
Ocio, recreo y vacaciones;Tasa de variación anual;2017M01;17,61
Ocio, recreo y vacaciones;Tasa de variación anual;2016M12;18,39
Ocio, recreo y vacaciones;Tasa de variación anual;2016M11;11,13
Ocio, recreo y vacaciones;Tasa de variación anual;2016M10;14,86
Ocio, recreo y vacaciones;Tasa de variación anual;2016M09;11,16
Ocio, recreo y vacaciones;Tasa de variación anual;2016M08;7,53
Ocio, recreo y vacaciones;Tasa de variación anual;2016M07;10,64
Ocio, recreo y vacaciones;Tasa de variación anual;2016M06;11,13
Ocio, recreo y vacaciones;Tasa de variación anual;2016M05;6,01
Ocio, recreo y vacaciones;Tasa de variación anual;2016M04;8,82
Ocio, recreo y vacaciones;Tasa de variación anual;2016M03;17,97
Ocio, recreo y vacaciones;Tasa de variación anual;2016M02;8,19
Ocio, recreo y vacaciones;Tasa de variación anual;2016M01;5,02
Ocio, recreo y vacaciones;Tasa de variación anual;2015M12;-1,39
Ocio, recreo y vacaciones;Tasa de variación anual;2015M11;3,98
Ocio, recreo y vacaciones;Tasa de variación anual;2015M10;4,48
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2023M08;50.357.990
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2023M07;41.059.666
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2023M06;31.853.357
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2023M05;24.577.639
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2023M04;17.406.713
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2023M03;11.214.991
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2023M02;6.929.714
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2023M01;3.420.779
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2022M12;62.131.655
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2022M11;58.812.130
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2022M10;55.257.647
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2022M09;49.129.233
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2022M08;42.265.279
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2022M07;34.108.886
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2022M06;25.804.394
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2022M05;19.136.166
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2022M04;13.204.881
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2022M03;7.999.912
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2022M02;4.641.629
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2022M01;2.009.257
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2021M12;26.350.140
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2021M11;24.004.457
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2021M10;21.188.763
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2021M09;16.669.114
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2021M08;12.507.246
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2021M07;7.748.966
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2021M06;3.877.864
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2021M05;2.102.054
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2021M04;1.095.867
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2021M03;705.065
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2021M02;437.500
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2021M01;274.925
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2020M12;15.533.526
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2020M11;15.148.112
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2020M10;14.852.465
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2020M09;14.051.513
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2020M08;13.148.925
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2020M07;10.979.570
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2020M06;8.857.453
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2020M05;8.689.820
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2020M04;8.689.820
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2020M03;8.689.820
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2020M02;7.032.701
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2020M01;3.377.951
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2019M12;72.976.423
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2019M11;69.443.262
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2019M10;65.627.411
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2019M09;58.999.137
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2019M08;51.051.583
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2019M07;41.600.133
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2019M06;32.624.486
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2019M05;24.806.870
Ocio, recreo y vacaciones;Acumulado en lo que va de año;2019M04;17.888.882
